,cluster,lsat,ugpa,zfygpa,zgpa,bar1,fulltime,fam_inc,age,gender,race
0,4.0,32.5,3.2,-0.76,-0.56,1,1.0,4.0,-62.0,1,1
1,5.0,41.0,3.9,1.08,0.88,1,1.0,3.0,-57.0,1,1
2,3.0,36.0,2.9,-0.53,-1.05,0,1.0,4.0,-61.0,1,1
3,1.0,36.0,3.1,-0.67,-0.9,1,1.0,3.0,-61.0,1,0
4,1.0,34.0,2.5,-1.14,-0.93,0,1.0,4.0,-60.0,0,0
5,5.0,41.0,3.2,-0.16,-0.19,0,1.0,5.0,-59.0,0,1
6,3.0,36.0,3.3,0.45,0.23,1,1.0,4.0,-62.0,0,1
7,1.0,41.0,3.4,-0.38,-0.83,0,1.0,3.0,-58.0,1,1
8,2.0,35.0,3.3,0.91,1.26,1,1.0,4.0,-61.0,0,1
9,1.0,37.0,3.2,-0.65,-0.59,1,1.0,3.0,-61.0,1,1
10,5.0,42.0,3.8,0.35,0.35,1,1.0,4.0,-55.0,1,1
11,3.0,36.0,3.6,0.45,0.44,1,1.0,3.0,-62.0,1,1
12,1.0,44.0,3.7,-1.26,-1.42,1,1.0,3.0,-60.0,0,1
13,3.0,37.0,3.7,1.08,0.98,1,1.0,3.0,-62.0,0,1
14,3.0,34.0,3.5,-0.2,-0.57,1,1.0,4.0,-63.0,1,1
15,3.0,42.0,3.3,-1.59,-0.82,1,1.0,4.0,-62.0,0,1
16,1.0,26.0,2.6,1.28,-0.85,0,2.0,4.0,-61.0,0,1
17,1.0,38.0,3.6,0.22,0.18,1,1.0,4.0,-62.0,1,1
18,5.0,30.0,2.9,-0.86,-1.43,0,1.0,4.0,-60.0,0,1
19,2.0,45.0,3.1,2.23,2.14,0,1.0,4.0,-61.0,1,1
20,3.0,40.0,2.6,-0.44,-1.36,0,1.0,4.0,-60.0,1,1
21,3.0,42.0,3.9,0.61,0.47,1,1.0,3.0,-55.0,1,1
22,3.0,38.0,2.2,-0.94,-0.91,1,1.0,4.0,-57.0,0,1
23,3.0,37.0,2.5,-0.77,-1.55,0,1.0,5.0,-61.0,0,1
24,5.0,45.0,3.6,0.25,0.19,1,1.0,4.0,-65.0,1,1
25,1.0,39.0,3.5,-0.81,-0.07,1,1.0,3.0,-49.0,0,1
26,3.0,31.0,3.0,-1.46,-1.34,0,2.0,2.0,-42.0,0,0
27,3.0,34.0,3.0,-0.5,-1.41,0,1.0,4.0,-62.0,1,1
28,1.0,41.0,3.8,1.6,1.49,1,1.0,3.0,-62.0,1,1
29,4.0,43.0,3.6,-0.99,-0.1,1,1.0,4.0,-60.0,1,1
30,3.0,27.0,2.3,-1.26,-1.27,1,1.0,3.0,-55.0,0,0
31,1.0,39.0,3.4,1.0,0.19,0,1.0,4.0,-62.0,1,1
32,3.0,32.0,3.2,-1.48,-1.65,0,1.0,4.0,-62.0,1,1
33,1.0,30.0,3.2,-1.38,-1.32,0,1.0,3.0,-61.0,1,1
34,3.0,38.0,2.9,-1.51,-0.31,1,1.0,4.0,-62.0,1,1
35,4.0,31.0,2.6,-1.26,-1.87,0,1.0,5.0,-59.0,0,0
36,3.0,33.0,2.5,-0.32,-1.27,1,1.0,4.0,-58.0,0,1
37,4.0,41.0,3.0,0.49,0.38,1,1.0,4.0,-62.0,1,1
38,3.0,40.0,3.7,-0.75,-0.73,0,1.0,3.0,-59.0,1,1
39,3.0,34.0,2.7,-1.71,-1.54,0,1.0,4.0,-60.0,0,1
40,4.0,25.0,3.3,-0.09,-0.24,0,1.0,2.0,-61.0,1,0
41,5.0,44.0,3.8,0.78,1.4,1,1.0,4.0,-62.0,1,1
42,1.0,35.5,3.6,-0.09,0.38,1,1.0,2.0,-53.0,0,1
43,4.0,38.0,3.0,-1.23,-0.86,1,1.0,5.0,-61.0,0,1
44,4.0,48.0,3.8,0.86,0.99,1,1.0,2.0,-56.0,1,1
45,3.0,37.0,3.6,1.45,1.39,1,1.0,3.0,-62.0,1,1
46,1.0,35.0,3.5,0.26,0.26,1,1.0,4.0,-58.0,0,1
47,3.0,37.0,3.1,1.33,0.65,1,1.0,4.0,-62.0,1,1
48,1.0,42.0,3.2,0.58,0.74,1,1.0,4.0,-59.0,0,1
49,3.0,37.0,3.8,-0.88,-2.11,0,1.0,3.0,-62.0,1,1
50,1.0,23.5,2.3,-1.38,-1.77,1,1.0,1.0,-56.0,0,0
51,1.0,40.0,3.6,-0.01,-0.02,1,1.0,4.0,-61.0,1,0
52,4.0,37.5,3.0,-0.54,-0.51,1,2.0,4.0,-58.0,0,1
53,3.0,27.0,3.3,1.25,0.41,1,1.0,2.0,-61.0,1,0
54,1.0,24.0,2.6,-1.6,-1.77,0,1.0,3.0,-61.0,1,0
55,3.0,26.0,2.3,-2.05,-1.39,0,2.0,3.0,-56.0,0,0
56,1.0,40.0,3.4,-0.49,-0.57,0,1.0,3.0,-53.0,0,1
57,1.0,39.0,3.5,1.84,1.89,1,1.0,3.0,-59.0,0,1
58,4.0,36.5,3.4,-0.8,-0.87,0,1.0,2.0,-58.0,1,1
59,3.0,37.0,2.2,-0.47,-0.9,0,2.0,5.0,-52.0,0,1
60,1.0,32.0,3.3,0.28,0.0,1,1.0,2.0,-55.0,1,1
61,3.0,19.0,3.2,-0.7,-0.45,0,1.0,3.0,-62.0,1,0
62,3.0,31.5,3.0,-0.44,-0.17,1,1.0,4.0,-61.0,1,1
63,3.0,38.0,2.8,-1.26,-1.86,1,1.0,2.0,-60.0,0,0
64,2.0,27.5,3.1,-0.02,-0.77,0,1.0,4.0,-61.0,0,1
65,3.0,44.0,3.1,-0.79,-1.34,1,1.0,4.0,-61.0,0,1
66,1.0,32.0,2.4,-0.53,-0.7,0,1.0,1.0,-56.0,0,0
67,1.0,29.0,2.8,-1.32,-2.31,0,1.0,2.0,-64.0,0,0
68,3.0,36.0,3.3,0.14,0.53,1,2.0,3.0,-57.0,0,1
69,3.0,30.0,3.0,-0.09,-0.61,0,1.0,3.0,-61.0,0,1
70,3.0,34.0,3.4,0.8,0.81,1,1.0,4.0,-56.0,1,1
71,1.0,40.0,3.2,-0.78,-1.25,1,1.0,4.0,-61.0,0,1
72,1.0,35.0,3.7,-0.37,-0.27,1,1.0,3.0,-62.0,0,1
73,4.0,42.5,3.6,0.94,0.84,1,1.0,5.0,-60.0,1,1
74,4.0,36.0,2.8,-1.05,-1.47,0,1.0,4.0,-62.0,0,1
75,1.0,33.0,3.1,-0.81,-1.55,0,1.0,3.0,-62.0,1,0
76,3.0,39.0,3.4,-0.05,-0.35,0,1.0,4.0,-61.0,1,1
77,1.0,39.0,3.8,0.38,-0.06,1,1.0,4.0,-62.0,0,1
78,4.0,42.0,3.9,-0.18,-0.08,1,1.0,4.0,-62.0,1,1
79,4.0,31.0,3.0,-1.66,-0.95,0,1.0,3.0,-57.0,1,1
80,2.0,33.0,2.9,1.21,2.3,1,1.0,4.0,-61.0,1,1
81,4.0,38.0,3.3,0.74,0.45,1,1.0,3.0,-62.0,1,1
82,2.0,39.0,3.7,1.4,1.85,1,1.0,1.0,-59.0,0,1
83,1.0,42.0,3.4,-0.4,0.21,1,1.0,2.0,-59.0,1,1
84,3.0,32.0,3.0,0.56,1.89,1,2.0,3.0,-52.0,1,1
85,5.0,26.0,3.2,-2.22,-2.14,0,1.0,4.0,-61.0,1,0
86,1.0,37.0,3.6,0.5,0.18,0,1.0,3.0,-59.0,0,1
87,3.0,36.0,3.2,2.0,2.31,1,1.0,4.0,-50.0,1,1
88,1.0,38.5,3.6,1.2,1.23,1,1.0,4.0,-62.0,0,1
89,2.0,30.0,3.2,-1.13,-1.27,0,1.0,3.0,-48.0,1,1
90,3.0,30.0,3.1,0.75,0.8,1,1.0,5.0,-66.0,0,1
91,3.0,39.0,3.1,1.44,0.84,1,2.0,4.0,-61.0,1,1
92,6.0,30.0,2.7,1.14,0.29,1,1.0,2.0,-57.0,0,0
93,2.0,34.0,3.0,-0.55,0.43,1,2.0,4.0,-62.0,1,1
94,4.0,42.0,2.9,1.31,-0.17,1,1.0,4.0,-59.0,0,0
95,3.0,33.0,3.2,0.6,0.17,1,2.0,2.0,-45.0,0,1
96,3.0,24.0,3.0,-1.04,-0.78,0,1.0,3.0,-55.0,0,1
97,5.0,46.0,3.1,2.03,0.98,1,1.0,3.0,-56.0,0,1
98,2.0,31.5,2.6,-0.96,-1.49,0,1.0,3.0,-62.0,1,1
99,4.0,33.0,3.8,0.77,0.99,1,1.0,3.0,-62.0,1,1
100,3.0,45.0,3.5,0.15,0.95,0,1.0,2.0,-49.0,0,1
101,3.0,31.0,3.6,1.27,1.05,1,1.0,4.0,-54.0,1,1
102,1.0,38.0,3.0,0.12,0.07,1,1.0,3.0,-49.0,1,1
103,1.0,44.0,3.8,0.21,0.35,1,1.0,4.0,-63.0,0,1
104,3.0,33.0,3.1,-0.45,-0.76,1,1.0,4.0,-62.0,0,1
105,3.0,36.0,3.6,-0.89,-0.29,1,1.0,2.0,-47.0,0,1
106,3.0,35.0,3.3,-1.06,-0.77,0,1.0,3.0,-62.0,0,1
107,4.0,32.3,3.2,-1.51,-1.51,0,1.0,4.0,-65.0,1,1
108,3.0,33.0,3.1,-1.42,-1.03,0,1.0,3.0,-60.0,0,1
109,3.0,38.0,3.0,0.48,0.65,0,1.0,4.0,-61.0,0,1
110,3.0,44.0,2.6,0.26,-0.37,1,1.0,3.0,-62.0,0,1
111,4.0,28.5,3.4,-2.87,-2.52,0,1.0,2.0,-66.0,1,0
112,1.0,41.0,3.0,-0.46,0.14,1,1.0,4.0,-61.0,0,1
113,3.0,29.0,3.0,-0.57,-1.02,0,1.0,2.0,-51.0,0,0
114,3.0,37.0,3.9,-0.05,0.0,1,1.0,4.0,-62.0,0,0
115,4.0,43.0,3.5,-0.66,-0.79,1,1.0,4.0,-62.0,1,1
116,4.0,43.0,3.7,-0.26,-0.4,0,1.0,4.0,-67.0,0,1
117,4.0,33.0,2.6,-1.35,-1.3,0,2.0,4.0,-50.0,1,0
118,4.0,38.0,2.1,-1.81,-1.82,0,1.0,4.0,-54.0,1,1
119,3.0,37.0,2.7,-0.49,-0.78,1,1.0,4.0,-61.0,0,1
120,3.0,33.0,3.6,0.25,0.5,0,1.0,2.0,-48.0,1,1
121,3.0,37.0,2.9,-0.14,0.1,1,1.0,4.0,-61.0,1,1
122,3.0,28.0,3.2,-0.55,-1.37,0,1.0,3.0,-60.0,0,0
123,3.0,25.0,2.4,-1.29,-1.52,0,1.0,4.0,-66.0,1,0
124,5.0,41.0,2.9,-1.26,-1.07,0,1.0,4.0,-60.0,0,0
125,3.0,27.0,2.7,-1.9,-1.27,0,1.0,4.0,-60.0,1,0
126,4.0,36.0,3.3,-0.38,-0.41,1,1.0,4.0,-62.0,0,1
127,4.0,42.0,3.5,1.0,0.03,1,1.0,4.0,-62.0,1,1
128,4.0,47.0,3.6,0.6,0.83,1,1.0,5.0,-61.0,0,1
129,3.0,36.0,2.5,0.07,-0.04,1,1.0,4.0,-62.0,0,1
130,2.0,26.0,3.2,0.53,-0.76,1,1.0,4.0,-52.0,0,1
131,3.0,34.0,2.8,-1.79,-1.82,0,1.0,4.0,-55.0,0,1
132,6.0,30.0,2.1,0.18,-0.17,0,1.0,2.0,-57.0,0,0
133,3.0,37.0,2.8,-0.09,-0.52,1,2.0,3.0,-55.0,1,1
134,3.0,37.0,2.9,0.15,-0.2,0,1.0,3.0,-63.0,0,1
135,3.0,30.0,3.4,-0.98,-0.67,0,2.0,3.0,-48.0,0,1
136,3.0,37.0,3.4,-0.92,-0.16,1,1.0,4.0,-62.0,1,1
137,1.0,38.0,3.9,2.41,2.25,1,2.0,4.0,-58.0,1,1
138,4.0,37.5,3.7,0.05,-0.06,0,1.0,4.0,-52.0,0,1
139,1.0,25.0,3.5,-0.26,-0.77,0,1.0,5.0,-60.0,1,1
140,1.0,31.5,3.4,-0.37,-0.42,0,1.0,3.0,-58.0,1,1
141,4.0,26.0,2.8,-0.38,-0.73,1,1.0,5.0,-58.0,0,1
142,1.0,33.0,3.5,-0.95,-1.09,0,1.0,4.0,-61.0,0,1
143,1.0,38.0,3.7,-0.51,-0.92,1,1.0,2.0,-60.0,0,0
144,4.0,45.0,3.7,0.55,-0.23,1,1.0,3.0,-62.0,0,1
145,3.0,34.0,2.8,0.26,0.32,1,1.0,4.0,-62.0,0,1
146,3.0,28.0,2.9,-1.4,-1.73,0,1.0,4.0,-62.0,1,0
147,3.0,34.0,2.9,1.25,1.25,1,1.0,3.0,-61.0,0,1
148,3.0,37.0,2.5,-1.44,-1.4,0,1.0,5.0,-60.0,0,1
149,4.0,37.0,3.9,-0.49,-0.54,1,1.0,3.0,-62.0,1,1
150,1.0,42.0,3.8,0.92,0.49,1,1.0,4.0,-62.0,1,1
151,6.0,30.0,2.8,0.05,0.06,0,1.0,2.0,-60.0,1,0
152,6.0,31.0,2.8,2.05,1.59,0,1.0,3.0,-59.0,1,1
153,2.0,35.0,3.5,1.0,1.55,1,1.0,3.0,-61.0,1,1
154,2.0,33.0,3.7,-0.52,-0.33,1,1.0,2.0,-56.0,0,1
155,2.0,29.0,3.3,-1.42,-1.32,0,1.0,4.0,-62.0,1,1
156,1.0,43.0,3.2,0.26,-0.03,1,1.0,4.0,-62.0,0,1
157,1.0,26.0,3.5,-0.24,-0.36,0,1.0,1.0,-61.0,1,1
158,1.0,39.0,3.5,-1.11,-0.92,1,1.0,4.0,-42.0,1,1
159,2.0,26.0,2.3,-1.0,-1.58,0,1.0,3.0,-60.0,1,0
160,3.0,25.0,2.3,-1.26,-0.51,0,2.0,3.0,-59.0,1,0
161,1.0,40.0,2.9,-0.28,-0.45,1,1.0,4.0,-61.0,0,1
162,2.0,32.0,2.7,-0.66,-0.97,1,1.0,3.0,-62.0,0,1
163,3.0,37.0,2.7,-1.4,-1.65,0,1.0,3.0,-61.0,1,1
164,4.0,40.0,3.9,-0.39,-0.03,1,1.0,4.0,-61.0,0,1
165,5.0,47.0,4.0,1.71,1.07,1,1.0,3.0,-58.0,0,1
166,3.0,32.0,3.4,0.85,0.52,1,1.0,1.0,-62.0,1,1
167,1.0,44.0,3.6,1.38,1.34,1,1.0,4.0,-62.0,1,1
168,3.0,34.0,3.1,0.75,0.25,1,1.0,4.0,-62.0,0,1
169,6.0,30.0,2.6,0.89,0.59,0,1.0,2.0,-60.0,1,0
170,3.0,36.0,3.4,-0.25,-0.42,0,1.0,3.0,-61.0,0,1
171,3.0,35.0,3.3,-1.81,-1.87,0,1.0,3.0,-59.0,0,1
172,2.0,26.0,3.3,-0.66,-1.35,0,1.0,4.0,-61.0,0,1
173,4.0,27.0,2.9,-1.28,-1.88,1,1.0,3.0,-57.0,0,0
174,2.0,32.0,2.7,0.74,0.61,1,1.0,5.0,-62.0,1,1
175,1.0,37.0,2.2,-1.29,-0.99,0,2.0,3.0,-33.0,0,1
176,3.0,35.0,3.3,-1.52,-1.42,1,1.0,3.0,-62.0,1,1
177,2.0,27.5,2.4,-0.1,0.21,1,1.0,4.0,-52.0,0,1
178,2.0,35.0,3.4,-0.34,-1.26,0,1.0,4.0,-62.0,0,1
179,1.0,39.0,3.5,-0.08,-0.3,1,1.0,4.0,-60.0,0,1
180,3.0,37.0,3.3,-0.62,-1.18,0,1.0,5.0,-62.0,1,1
181,2.0,37.0,2.6,-0.48,-0.92,1,1.0,3.0,-58.0,0,1
182,3.0,39.0,3.6,0.2,0.45,1,1.0,3.0,-62.0,1,1
183,4.0,36.0,3.8,1.85,2.34,1,1.0,4.0,-60.0,0,1
184,2.0,26.5,3.3,-0.75,-1.44,0,1.0,4.0,-62.0,0,1
185,3.0,39.0,2.7,-0.17,-0.06,1,1.0,4.0,-59.0,0,1
186,4.0,34.5,3.6,1.68,1.24,1,1.0,4.0,-59.0,0,1
187,1.0,40.0,4.0,1.65,1.74,1,1.0,3.0,-61.0,0,1
188,2.0,25.0,2.5,-0.34,-1.7,0,1.0,5.0,-60.0,0,1
189,1.0,38.0,2.6,0.14,-0.79,0,1.0,4.0,-61.0,0,1
190,1.0,25.0,2.9,-1.82,-1.72,0,1.0,4.0,-36.0,1,1
191,4.0,41.0,3.5,-1.1,-1.61,0,1.0,4.0,-62.0,1,0
192,3.0,37.0,3.8,0.92,0.97,1,1.0,3.0,-62.0,1,1
193,3.0,39.0,3.2,-0.28,-1.29,1,1.0,4.0,-62.0,1,1
194,1.0,25.0,2.6,0.04,-0.39,0,1.0,5.0,-57.0,1,0
195,3.0,35.3,3.1,-1.61,-1.74,1,1.0,3.0,-61.0,0,1
196,3.0,40.0,3.5,1.49,1.57,1,1.0,3.0,-61.0,0,1
197,1.0,41.0,3.5,-1.64,-1.44,1,1.0,5.0,-62.0,1,1
198,2.0,29.0,3.4,-0.97,-1.52,0,1.0,4.0,-60.0,0,1
199,2.0,39.0,2.5,0.24,0.15,1,1.0,3.0,-62.0,0,1
200,2.0,32.5,2.7,-0.17,-0.55,0,1.0,3.0,-61.0,1,1
201,3.0,35.0,3.2,0.19,-0.46,0,2.0,4.0,-49.0,1,1
202,1.0,38.0,3.0,1.53,0.42,0,1.0,4.0,-53.0,0,1
203,1.0,26.0,3.1,-2.06,-2.06,0,1.0,4.0,-61.0,0,0
204,1.0,28.0,2.8,-1.15,-2.03,0,1.0,3.0,-66.0,0,0
205,1.0,37.0,3.1,-0.07,-0.6,1,1.0,4.0,-62.0,1,1
206,2.0,31.0,3.0,-0.93,-1.49,0,1.0,3.0,-61.0,1,0
207,1.0,36.0,3.3,-0.81,-0.29,1,1.0,5.0,-57.0,1,1
208,4.0,40.0,3.9,0.44,0.37,1,1.0,3.0,-62.0,0,1
209,1.0,39.0,3.6,0.38,-0.36,1,1.0,3.0,-52.0,0,1
210,3.0,34.0,3.0,-0.83,-1.06,0,1.0,3.0,-56.0,1,1
211,5.0,39.0,3.8,0.79,1.29,1,1.0,4.0,-62.0,1,1
212,1.0,48.0,3.5,-0.19,-0.09,1,1.0,4.0,-61.0,1,1
213,1.0,41.0,3.6,1.08,0.85,1,1.0,4.0,-62.0,0,1
214,1.0,38.0,3.7,0.88,1.56,1,1.0,3.0,-62.0,0,1
215,1.0,26.0,3.1,0.1,-0.66,0,1.0,4.0,-59.0,1,1
216,3.0,34.0,2.2,0.26,0.74,1,2.0,3.0,-56.0,1,1
217,3.0,34.0,2.3,-0.29,-0.67,0,1.0,3.0,-60.0,1,0
218,1.0,38.0,3.8,-1.57,-1.65,1,1.0,3.0,-62.0,0,1
219,1.0,37.0,3.6,-0.66,-0.02,1,1.0,2.0,-60.0,1,0
220,3.0,38.0,3.5,0.38,-0.3,1,1.0,4.0,-62.0,0,1
221,4.0,35.5,3.0,-1.14,-1.33,1,1.0,4.0,-61.0,1,1
222,3.0,31.0,3.2,-0.2,-0.63,0,2.0,3.0,-58.0,0,1
223,4.0,27.0,3.6,-1.9,-2.35,0,1.0,2.0,-60.0,0,0
224,1.0,36.0,2.8,-0.97,-1.01,0,1.0,4.0,-60.0,0,0
225,1.0,28.5,2.7,1.44,0.69,1,1.0,3.0,-61.0,0,1
226,1.0,30.0,3.1,1.86,1.14,1,1.0,2.0,-57.0,1,1
227,3.0,36.0,3.1,-0.76,-1.11,0,1.0,4.0,-60.0,0,1
228,3.0,34.0,2.8,0.22,-0.05,1,1.0,3.0,-62.0,1,1
229,6.0,27.0,3.2,-0.37,-0.42,0,1.0,2.0,-42.0,1,1
230,3.0,39.0,2.8,0.39,0.71,1,1.0,4.0,-58.0,0,1
231,4.0,42.0,2.8,-0.94,-0.62,0,1.0,3.0,-59.0,0,1
232,2.0,39.0,2.8,-0.38,-0.48,0,1.0,3.0,-59.0,1,1
233,3.0,27.0,2.4,-1.11,-0.88,0,2.0,4.0,-42.0,0,1
234,1.0,35.0,2.9,-1.56,-1.77,1,1.0,1.0,-66.0,0,0
235,1.0,23.5,2.6,-1.79,-1.79,0,1.0,3.0,-59.0,1,0
236,1.0,35.0,3.4,-0.28,-0.55,0,1.0,1.0,-66.0,1,1
237,5.0,41.0,3.7,-0.81,-1.48,0,1.0,2.0,-56.0,1,1
238,1.0,30.5,3.2,-1.92,-1.36,0,1.0,4.0,-62.0,1,0
239,4.0,46.0,3.6,0.66,0.61,1,1.0,4.0,-62.0,0,1
240,4.0,33.0,3.5,0.96,0.97,1,1.0,2.0,-58.0,0,1
241,3.0,30.5,3.1,0.87,0.81,1,1.0,4.0,-61.0,0,1
242,4.0,34.0,3.5,0.35,0.76,1,1.0,2.0,-60.0,0,1
243,3.0,39.0,3.6,0.62,1.1,1,1.0,3.0,-62.0,1,1
244,3.0,39.0,4.0,1.25,1.94,1,1.0,2.0,-62.0,1,1
245,3.0,31.0,3.0,-0.39,-1.04,1,1.0,3.0,-56.0,0,0
246,3.0,39.0,3.0,-1.64,-1.93,0,1.0,5.0,-60.0,0,1
247,3.0,28.3,2.8,-0.93,-0.92,0,1.0,3.0,-59.0,0,1
248,3.0,40.0,3.1,-1.22,-1.13,0,1.0,4.0,-62.0,1,1
249,2.0,42.0,3.5,0.51,0.93,1,1.0,3.0,-62.0,0,1
250,3.0,23.0,2.7,-1.39,-1.73,0,1.0,3.0,-61.0,0,0
251,1.0,39.0,3.2,-0.51,0.0,1,1.0,4.0,-62.0,0,1
252,1.0,41.0,3.3,0.22,-0.08,1,1.0,4.0,-61.0,0,1
253,1.0,31.0,3.5,-1.54,-1.86,0,1.0,3.0,-52.0,1,1
254,6.0,15.0,2.1,-0.61,-0.49,0,1.0,3.0,-57.0,1,0
255,3.0,43.0,3.5,1.67,1.65,1,2.0,4.0,-61.0,0,1
256,6.0,22.0,2.4,-0.9,-0.28,0,1.0,3.0,-60.0,0,1
257,3.0,35.0,2.9,1.36,1.77,1,2.0,2.0,-41.0,0,1
258,5.0,40.5,3.6,0.45,0.6,1,1.0,4.0,-60.0,1,1
259,5.0,48.0,3.8,0.54,0.82,1,1.0,3.0,-60.0,1,1
260,4.0,40.0,2.4,1.16,0.45,0,1.0,4.0,-59.0,1,1
261,3.0,33.0,3.8,-0.89,-0.72,1,1.0,4.0,-62.0,1,1
262,3.0,34.0,2.9,-0.61,-1.37,0,1.0,4.0,-59.0,0,1
263,3.0,38.0,3.0,-0.69,-0.73,1,1.0,3.0,-62.0,1,1
264,3.0,37.0,3.6,1.13,1.54,1,1.0,3.0,-62.0,1,1
265,3.0,30.0,2.8,-1.48,-1.6,0,1.0,4.0,-55.0,1,0
266,3.0,27.0,3.6,-0.75,-1.01,1,1.0,3.0,-57.0,1,1
267,4.0,35.0,2.6,-1.05,-1.44,0,2.0,3.0,-62.0,1,1
268,1.0,35.0,3.6,-0.56,-0.21,1,1.0,3.0,-59.0,1,1
269,1.0,44.0,3.0,-0.28,-0.04,1,1.0,4.0,-61.0,0,1
270,1.0,39.0,3.1,-1.23,-1.42,0,1.0,2.0,-55.0,0,1
271,1.0,37.0,3.5,0.87,0.81,1,1.0,3.0,-62.0,1,1
272,3.0,36.0,2.1,1.57,0.95,1,2.0,3.0,-61.0,0,1
273,1.0,42.0,3.1,0.17,0.11,1,1.0,4.0,-59.0,0,1
274,4.0,31.0,3.2,0.78,1.12,1,1.0,4.0,-62.0,1,1
275,3.0,39.0,2.8,1.36,1.55,1,1.0,4.0,-61.0,1,1
276,3.0,30.5,3.1,-1.52,-1.7,0,1.0,3.0,-42.0,1,1
277,3.0,32.5,3.2,-0.29,-0.25,0,1.0,3.0,-61.0,1,1
278,2.0,39.0,2.7,-0.28,-0.28,0,1.0,4.0,-62.0,1,1
279,1.0,36.0,3.5,-0.87,-1.34,0,1.0,3.0,-51.0,0,1
280,1.0,32.0,2.4,-1.01,-1.2,1,2.0,3.0,-61.0,1,0
281,2.0,35.0,2.6,-0.37,-0.53,0,1.0,3.0,-53.0,1,1
282,3.0,36.0,3.5,-1.45,-0.93,0,2.0,4.0,-60.0,1,1
283,1.0,42.0,2.8,-0.89,-1.39,1,1.0,2.0,-65.0,0,1
284,1.0,39.0,3.3,-0.04,0.17,1,1.0,1.0,-46.0,0,1
285,4.0,38.0,3.4,-0.87,-1.26,1,1.0,4.0,-59.0,1,0
286,5.0,29.5,2.7,-1.84,-2.2,0,1.0,5.0,-62.0,0,0
287,3.0,37.0,3.0,0.51,0.26,0,1.0,4.0,-64.0,1,1
288,1.0,29.0,2.9,-1.36,-1.66,0,1.0,2.0,-55.0,1,0
289,5.0,42.0,3.8,-2.09,-2.18,1,1.0,4.0,-62.0,0,1
290,1.0,24.7,2.9,-0.45,-0.32,0,2.0,3.0,-56.0,1,0
291,1.0,34.0,3.6,-1.87,-1.34,1,1.0,4.0,-67.0,1,1
292,4.0,25.0,2.5,-1.86,-2.4,0,1.0,1.0,-37.0,0,0
293,6.0,23.3,2.7,-1.56,-1.95,0,1.0,3.0,-60.0,1,0
294,3.0,39.0,2.6,0.43,1.34,1,1.0,2.0,-54.0,0,1
295,6.0,22.0,2.5,-0.47,-1.87,0,1.0,3.0,-57.0,0,0
296,3.0,32.0,2.8,-1.36,-1.17,0,1.0,4.0,-61.0,0,1
297,3.0,31.0,3.2,-1.56,-0.74,0,1.0,2.0,-59.0,1,1
298,3.0,33.0,3.4,-1.41,-1.54,0,1.0,4.0,-61.0,0,1
299,5.0,39.0,3.5,0.86,0.86,1,1.0,5.0,-62.0,1,1
300,1.0,36.0,2.9,-0.95,-1.42,0,1.0,5.0,-47.0,1,1
301,1.0,32.0,2.8,-1.32,-1.62,0,1.0,4.0,-60.0,1,0
302,3.0,39.0,2.5,1.64,1.82,1,2.0,3.0,-51.0,0,1
303,1.0,32.0,3.0,-1.68,-2.06,0,1.0,2.0,-36.0,1,1
304,3.0,24.0,2.9,-1.38,-1.27,0,1.0,2.0,-59.0,1,0
305,6.0,26.0,3.1,-0.05,0.17,0,1.0,2.0,-61.0,0,0
306,4.0,34.0,3.0,-1.85,-1.53,0,2.0,3.0,-51.0,0,1
